STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
CALIFORNIA,Riverbank Unified School District,600061,600061,429,28,2338,29,9,42,873,9,88,10,1,22
CALIFORNIA,Southern Kern Unified School District,637620,637620,1081,348,1794,65,29,89,337,1,4,0,3,4
CALIFORNIA,Big Pine Unified School District,604950,604950,40,0,36,2,76,17,274,3,6,1,0,12
CALIFORNIA,Owens Valley Unified School District,629190,629190,35,0,34,0,10,5,1984,12,116,38,13,91
CALIFORNIA,Lone Pine Unified School District,622440,622440,70,2,158,7,44,18,633,2,62,5,2,5
CALIFORNIA,Woodlake Unified School District,601418,601418,158,6,1999,17,6,6,1673,14,52,17,10,44
CALIFORNIA,Exeter Unified School District,601423,601423,1045,25,1686,28,22,45,749,6,29,4,0,18
CALIFORNIA,Madera Unified School District,623340,623340,1330,350,18586,275,90,148,2147,57,189,31,17,51
CALIFORNIA,Butte Valley Unified School District,606580,606580,139,0,146,4,13,6,381,0,28,3,0,4
CALIFORNIA,Marysville Joint Unified School District,624090,624090,3752,363,4206,966,269,430,1885,10,41,13,9,40
CALIFORNIA,Bishop Unified School District,601409,601409,734,9,714,23,279,131,986,2,75,8,55,53
CALIFORNIA,Mount Diablo Unified School District,626370,626370,10327,1224,13299,4024,77,2863,1100,48,175,26,2,4
CALIFORNIA,Elk Grove Unified School District,612330,612330,13037,7981,16605,19369,401,5668,488,5,2,3,2,2
CALIFORNIA,San Juan Unified School District,634620,634620,27935,3649,11260,3682,459,2270,8851,40202,19881,5234,480,1558
CALIFORNIA,Santa Paula Unified School District,601421,601421,193,6,5223,16,5,11,4601,1181,465,305,24,505
CALIFORNIA,Sierra-Plumas Joint Unified School District,636780,636780,300,2,55,1,0,18,129,2,6,2,0,6
CALIFORNIA,Dos Palos-Oro Loma Joint Unified School District,600033,600033,351,61,1833,17,51,12,771,5,38,8,0,12
CALIFORNIA,Gustine Unified School District,616323,616323,290,13,1512,29,10,36,319,0,4,1,0,0
