STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
CALIFORNIA,Folsom-Cordova Unified School District,613890,613890,10234,1148,4092,3469,84,1285,401,2,14,22,0,10
CALIFORNIA,Eastern Sierra Unified School District,611870,611870,197,2,156,10,35,2,448,7,26,41,0,6
CALIFORNIA,Gilroy Unified School District,615180,615180,2112,153,8388,750,68,488,301,1,6,4,0,29
CALIFORNIA,Palo Alto Unified School District,629610,629610,4934,227,1511,4483,22,1110,805,4,29,9,1,12
CALIFORNIA,School District Not Defined,699997,699997,NA,NA,NA,NA,NA,NA,360,0,5,6,0,2
CALIFORNIA,Morgan Hill Unified School District,625830,625830,2971,166,4571,1012,45,372,488,1,21,8,33,12
CALIFORNIA,Santa Clara Unified School District,635430,635430,3219,450,5402,5457,85,796,73,0,12,2,0,3
CALIFORNIA,San Jose Unified School District,634590,634590,7701,799,17050,4894,111,1449,228,3,30,8,0,12
CALIFORNIA,Valley Center-Pauma Unified School District,600069,600069,1320,21,2120,68,372,168,625,9,18,6,3,4
CALIFORNIA,Oceanside Unified School District,628250,628250,5579,1006,11334,1370,74,1266,374,5,37,4,1,8
CALIFORNIA,Poway Unified School District,631530,631530,16935,823,5312,10012,69,2805,162,2,5,0,1,3
CALIFORNIA,San Diego City Unified School District,634320,634320,29347,11087,59806,17774,298,9728,166,1,1,2,0,7
CALIFORNIA,Mountain Valley Unified School District,600018,600018,147,0,34,36,18,38,369,2,13,4,0,7
CALIFORNIA,Lompoc Unified School District,622410,622410,2430,316,6554,311,50,478,826,21,93,11,2,16
CALIFORNIA,Napa Valley Unified School District,626640,626640,5427,418,9882,1714,50,733,214,1,56,3,0,4
CALIFORNIA,Oakland Unified School District,628050,628050,4920,12436,22350,7289,139,2626,424,5,29,3,1,16
CALIFORNIA,Tahoe-Truckee Unified School District,638770,638770,2455,11,1534,31,19,103,296,3,51,2,0,14
CALIFORNIA,Plumas Unified School District,631170,631170,1559,25,326,25,77,121,729,12,51,10,4,11
CALIFORNIA,Fremont Unified School District,614400,614400,4282,780,5201,23760,91,1057,303,7,154,8,6,14
CALIFORNIA,New Haven Unified School District,626910,626910,736,686,4490,5321,52,608,1386,13,74,19,2,41
CALIFORNIA,Waterford Unified School District,600063,600063,1614,78,1771,205,33,288,152,1,8,3,0,5
CALIFORNIA,River Delta Joint Unified School District,633110,633110,904,35,1246,35,14,116,472,2,20,2,1,18
CALIFORNIA,Davis Joint Unified School District,610620,610620,4551,238,1732,1525,35,501,421,6,14,10,54,23
CALIFORNIA,Travis Unified School District,639630,639630,2130,626,1297,895,33,583,425,2,31,2,0,12
CALIFORNIA,Vallejo City Unified School District,640740,640740,1090,4069,5850,2843,60,642,678,4,14,3,0,14
CALIFORNIA,Ceres Unified School District,608130,608130,2153,245,10984,910,75,140,627,3,20,4,1,11
CALIFORNIA,San Lorenzo Valley Unified School District,634740,634740,3258,40,799,230,18,576,353,0,30,0,0,6
CALIFORNIA,Denair Unified School District,611040,611040,619,7,602,7,4,70,487,6,95,4,9,5
CALIFORNIA,Benicia Unified School District,604620,604620,2241,383,908,614,21,689,565,1,9,2,8,11
CALIFORNIA,Fairfield-Suisun Unified School District,613360,613360,4009,3446,9042,3312,115,1683,1860,34,99,98,7,63
CALIFORNIA,Mammoth Unified School District,623530,623530,456,2,713,17,2,23,2586,100,210,115,95,233
CALIFORNIA,Anderson Valley Unified School District,602730,602730,110,5,384,1,4,3,5502,133,178,149,53,158
CALIFORNIA,Mendocino Unified School District,624480,624480,416,6,55,19,7,14,408,7,33,3,1,17
CALIFORNIA,Ukiah Unified School District,640300,640300,2599,58,3264,102,370,186,3044,123,190,130,6,155
CALIFORNIA,Potter Valley Community Unified School District,631400,631400,142,2,107,0,10,9,1068,7,27,0,6,18
CALIFORNIA,Laytonville Unified School District,642580,642580,242,1,53,5,48,44,461,6,50,1,2,13
CALIFORNIA,Western Placer Unified School District,642140,642140,5388,232,2334,566,106,394,1392,8,57,15,10,36
CALIFORNIA,Dixon Unified School District,611280,611280,1225,58,2105,83,16,176,412,6,6,4,0,12
CALIFORNIA,Vacaville Unified School District,640590,640590,5478,780,4707,791,85,1111,2844,248,191,288,1,142
CALIFORNIA,Rocklin Unified School District,600013,600013,8513,197,1903,1565,66,1009,2374,57,350,23,22,76
CALIFORNIA,Novato Unified School District,627720,627720,3906,217,2773,481,51,441,534,1,129,1,1,19
CALIFORNIA,Shoreline Unified School District,636670,636670,194,1,294,12,6,8,1231,20,91,12,1,21
CALIFORNIA,San Francisco Unified School District,634410,634410,8467,5367,18255,22611,244,5189,927,18,68,4,5,7
CALIFORNIA,Lammersville Joint Unified School District,601410,601410,1067,300,860,1927,25,343,1672,32,108,10,2,25
CALIFORNIA,Los Angeles Unified School District,622710,622710,63828,52837,468734,37229,1226,9767,3121,34,148,75,2,90
CALIFORNIA,Inglewood Unified School District,618390,618390,71,4902,7285,114,90,108,2642,104,173,55,5,138
CALIFORNIA,Glendale Unified School District,615240,615240,14683,306,5770,4620,43,653,2593,1549,2240,55,52,454
CALIFORNIA,Santa Monica-Malibu Unified School District,635700,635700,5549,734,3266,739,28,689,1621,22,159,6,1,53
CALIFORNIA,Torrance Unified School District,639420,639420,5340,887,6960,8337,47,2125,7527,575,1283,222,38,661
CALIFORNIA,Alhambra Unified School District,600153,600153,349,112,7071,9100,33,406,658,4,18,3,3,13
CALIFORNIA,Norwalk-La Mirada Unified School District,627690,627690,1600,479,14675,1326,30,264,427,4,8,6,10,4
CALIFORNIA,Rowland Unified School District,633750,633750,536,304,9061,4078,21,274,2701,98,622,24,18,113
CALIFORNIA,Lynwood Unified School District,623160,623160,111,735,13583,55,4,9,603,10,65,5,3,31
CALIFORNIA,Culver City Unified School District,610260,610260,1831,976,2643,843,19,544,660,7,71,6,2,21
CALIFORNIA,West Covina Unified School District,642000,642000,1303,761,8728,1727,22,284,2263,55,423,37,6,13
CALIFORNIA,Charter Oak Unified School District,608190,608190,957,147,3249,373,24,146,1809,12,80,8,231,140
CALIFORNIA,Claremont Unified School District,608760,608760,2418,342,2931,798,14,563,363,12,339,3,1,5
CALIFORNIA,Bonita Unified School District,605610,605610,2982,314,5211,848,23,867,669,5,26,1,0,17
CALIFORNIA,Las Virgenes Unified School District,621000,621000,8569,288,1253,878,77,482,853,15,49,9,12,0
CALIFORNIA,Snowline Joint Unified School District,636970,636970,2908,481,3455,190,41,573,309,3,15,2,0,7
CALIFORNIA,San Lorenzo Unified School District,634710,634710,948,1257,6569,2634,34,297,577,2,21,3,6,14
CALIFORNIA,Conejo Valley Unified School District,609640,609640,10591,273,4999,2121,74,860,2807,30,93,246,7,131
CALIFORNIA,Simi Valley Unified School District,636840,636840,8351,171,6147,1712,36,732,691,5,14,1,0,12
CALIFORNIA,Yosemite Unified School District,600160,600160,1515,13,411,34,64,151,1043,132,94,18,9,39
CALIFORNIA,Twin Rivers Unified School District,601332,601332,8778,4454,13404,3327,241,1775,1167,16,12,6,10,8
CALIFORNIA,Trinity Alps Unified School District,601331,601331,545,4,72,10,48,66,382,4,10,1,0,2
CALIFORNIA,Leggett Valley Unified School District,609665,609665,98,1,10,3,4,3,793,8,13,4,11,5
CALIFORNIA,Fort Bragg Unified School District,614070,614070,926,16,781,19,21,128,1154,53,184,18,1,82
CALIFORNIA,Round Valley Unified School District,633720,633720,51,0,124,0,250,10,3508,69,209,60,3,135
CALIFORNIA,Willits Unified School District,642560,642560,1056,13,535,32,143,105,702,9,31,2,3,20
CALIFORNIA,Golden Valley Unified School District,600068,600068,982,22,761,50,18,42,471,5,24,0,1,15
CALIFORNIA,Gateway Unified School District,614950,614950,1935,46,422,90,176,132,613,7,12,3,1,15
CALIFORNIA,Martinez Unified School District,624030,624030,1983,105,1265,281,8,501,1434,2,61,13,46,50
CALIFORNIA,Piedmont City Unified School District,630330,630330,1611,38,207,361,1,474,1359,34,115,36,9,19
CALIFORNIA,Visalia Unified School District,641160,641160,6169,441,19617,1457,231,1017,3511,17,180,48,9,70
CALIFORNIA,Porterville Unified School District,600064,600064,1722,74,11554,451,324,243,4815,342,269,665,53,606
CALIFORNIA,El Tejon Unified School District,600026,600026,396,8,303,15,18,45,3363,35,67,314,12,101
CALIFORNIA,Sonoma Valley Unified School District,637200,637200,1670,24,2615,115,18,122,593,3,9,6,6,0
CALIFORNIA,Maricopa Unified School District,623820,623820,2040,277,1187,92,44,332,4602,95,244,755,25,157
CALIFORNIA,Muroc Joint Unified School District,626490,626490,924,148,494,86,12,217,5642,205,463,1598,64,433
CALIFORNIA,Tehachapi Unified School District,638880,638880,2753,70,1402,72,32,67,559,3,13,2,2,8
CALIFORNIA,Atascadero Unified School District,603300,603300,2988,64,1292,113,47,132,678,5,27,40,0,14
CALIFORNIA,Templeton Unified School District,639000,639000,1682,11,512,49,14,120,2438,59,109,373,14,174
CALIFORNIA,Coast Unified School District,600049,600049,207,6,405,10,3,18,1064,4,28,6,0,37
CALIFORNIA,Paso Robles Joint Unified School District,600048,600048,2750,100,3625,92,29,218,2072,27,136,15,39,75
CALIFORNIA,Lake Tahoe Unified School District,620640,620640,1905,31,1675,197,16,127,299,2,5,0,20,6
CALIFORNIA,Black Oak Mine Unified School District,605240,605240,1067,6,118,11,29,22,663,1,26,23,1,3
CALIFORNIA,Cloverdale Unified School District,608970,608970,542,7,772,18,41,38,887,1,43,1,0,17
CALIFORNIA,Geyserville Unified School District,615150,615150,86,2,157,2,0,3,820,8,15,9,9,11
CALIFORNIA,Desert Sands Unified School District,611110,611110,5645,502,21139,868,88,716,585,7,26,3,2,2
CALIFORNIA,San Jacinto Unified School District,634440,634440,1649,928,7787,294,253,309,516,8,714,1,2,6
CALIFORNIA,Palm Springs Unified School District,629550,629550,2791,1157,17848,753,103,435,145,0,0,1,0,2
CALIFORNIA,Corona-Norco Unified School District,609850,609850,13847,3189,28074,6800,188,1059,658,9,72,10,6,12
CALIFORNIA,Antioch Unified School District,602850,602850,2623,4333,7533,1844,104,889,727,11,23,16,11,34
CALIFORNIA,John Swett Unified School District,618990,618990,299,337,530,346,15,187,450,10,40,1,2,1
CALIFORNIA,Pittsburg Unified School District,630600,630600,626,1970,7329,1092,24,448,655,2,36,6,3,26
CALIFORNIA,West Contra Costa Unified School District,632550,632550,3155,5227,16989,4896,69,931,1916,41,47,11,15,17
CALIFORNIA,Windsor Unified School District,600034,600034,2255,33,2648,111,56,122,433,1,7,2,7,7
CALIFORNIA,Cotati-Rohnert Park Unified School District,609940,609940,2813,134,2550,283,40,452,4961,215,405,1026,21,284
CALIFORNIA,Temple City Unified School District,638980,638980,508,35,1227,3925,9,180,3017,294,184,293,13,217
CALIFORNIA,Arcadia Unified School District,602970,602970,1290,170,1380,6491,12,182,3891,122,268,298,12,153
CALIFORNIA,San Ramon Valley Unified School District,635130,635130,13827,542,2846,12695,61,2454,4483,17,235,42,6,133
CALIFORNIA,Bellflower Unified School District,604440,604440,1274,1604,7928,1131,59,301,4775,46,305,73,11,166
CALIFORNIA,Hamilton Unified School District,601339,601339,48,2,593,8,3,43,4846,1012,2278,313,90,633
