STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,SCHOOLID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
WISCONSIN,UNITED COMMUNITY CENTER ACOSTA MIDDLE SCHOOL,5500077,5509600,550007703047,0,1,52,0,0,0,697,2,229,5,5,10
WISCONSIN,UNIVERSAL ACADEMY FOR THE COLLEGE BOUND,5509600,5509600,550960002967,11,1018,23,5,2,15,361,5,16,0,3,5
WISCONSIN,UNIVERSAL ACADEMY FOR THE COLLEGE BOUND RENAISSANCE CAMPUS,5509600,5509600,550960003053,0,0,0,0,0,0,792,6,61,4,0,50
WISCONSIN,VERITAS HIGH,5500074,5509600,550007402496,17,5,225,3,2,0,2070,33,222,13,0,67
WISCONSIN,VICTORY ELEMENTARY,5509600,5509600,550960001264,179,88,178,101,9,15,899,17,20,7,2,21
WISCONSIN,VIEAU ELEMENTARY,5509600,5509600,550960001265,16,5,708,1,0,2,287,0,17,3,0,3
WISCONSIN,VINCENT ACCELERATED ACADEMY,5509600,5509600,550960003055,0,0,0,0,0,0,4168,141,89,58,140,161
WISCONSIN,VINCENT HIGH,5509600,5509600,550960002272,22,911,21,21,1,15,537,5,29,2,56,57
WISCONSIN,WEDGEWOOD PARK SCHOOL,5509600,5509600,550960002737,153,152,539,53,3,22,252,2,1,1,3,7
WISCONSIN,WESTSIDE ACADEMY,5509600,5509600,550960001512,4,355,10,3,0,2,799,10,18,12,3,10
WISCONSIN,WHITMAN ELEMENTARY,5509600,5509600,550960001270,158,77,139,13,9,18,1706,21,64,15,3,35
WISCONSIN,WHITTIER ELEMENTARY,5509600,5509600,550960001271,121,18,52,11,0,16,2029,21,138,27,7,62
WISCONSIN,WHS INFORMATION TECHNOLOGY,5509600,5509600,550960002608,14,591,15,34,2,6,1451,6,65,6,7,36
WISCONSIN,WISCONSIN CONSERVATORY OF LIFELONG LEARNING,5509600,5509600,550960000681,14,473,25,21,3,13,1803,19,91,3,4,8
WISCONSIN,WOODLANDS SCHOOL,5500113,5509600,550011303353,188,78,40,12,4,29,936,23,79,20,7,35
WISCONSIN,WOODLANDS SCHOOL EAST,5500070,5509600,550007002942,27,148,27,8,2,35,2299,75,130,38,10,70
WISCONSIN,ZABLOCKI ELEMENTARY,5509600,5509600,550960002342,62,59,252,28,7,11,2904,72,606,29,10,114
